date,open,high,low,close,adj_close,volume,current_ratio,long-term_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pre-tax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe_-_return_on_equity,return_on_tangible_equity,roa_-_return_on_assets,roi_-_return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share,is_day_start_market,is_day_end_market,day_of_week,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,ATR_14,ADX_14,CCI_14,ROC_10,RSI_14
2015-01-02,27.8475,27.860001,26.8375,27.3325,24.819241,212818400,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,1,5,,,,,,,,,,,,,
2015-01-05,27.0725,27.1625,26.352501,26.5625,24.120045,257142000,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,1,0,1,,,,,,,,,,,,,
2015-01-06,26.635,26.8575,26.157499,26.565001,24.12232,263188400,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,2,,,,,,,,,,,,,
2015-01-07,26.799999,27.049999,26.674999,26.9375,24.460564,160423600,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,3,,,,,,,,,,,,,
2015-01-08,27.307501,28.0375,27.174999,27.9725,25.400398,237458000,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,4,27.0740002,,,,27.0740002,,,,,,,,
2015-01-09,28.1675,28.3125,27.5525,28.002501,25.427635,214798000,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,1,5,27.208000400000003,,,,27.383500466666668,,,,,,,,
2015-01-12,28.15,28.157499,27.200001,27.3125,24.801083,198603200,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,1,0,1,27.3580004,,,,27.359833644444446,,,,,,,,
2015-01-13,27.8575,28.200001,27.227501,27.555,25.021282,268367600,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,2,27.556000200000007,,,,27.424889096296297,,,,,,,,
2015-01-14,27.26,27.622499,27.125,27.450001,24.925943,195826400,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,3,27.6585004,,,,27.433259730864197,,,,,,,,
2015-01-15,27.5,27.514999,26.665001,26.705,24.249435,240056000,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,4,27.405000400000006,27.239500299999996,,,27.190506487242796,27.239500299999996,,,,,,,
2015-01-16,26.7575,26.895,26.299999,26.497499,24.061016,314053200,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,1,5,27.104000000000006,27.156000199999994,,,26.959503991495197,27.10459097272727,,,,,,-3.0549748467941007,
2015-01-20,26.959999,27.2425,26.625,27.18,24.680767,199599600,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,2,27.077500000000008,27.217750199999994,,,27.033002660996797,27.118301704958675,,,,,,2.32470588235294,
2015-01-21,27.237499,27.764999,27.067499,27.387501,24.869184,194303600,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,3,27.044000200000006,27.300000199999992,,,27.151168773997863,27.167247031329826,,,,,,3.0961790665846367,
2015-01-22,27.565001,28.1175,27.43,28.1,25.516169,215185600,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,0,4,27.174000000000007,27.416250199999997,,,27.46744584933191,27.336838480178947,,,,,101.30867276658834,4.315545243619501,
2015-01-23,28.075001,28.4375,27.8825,28.245001,25.647839,185859200,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,0,1,5,27.482000200000005,27.443500299999993,,,27.726630899554607,27.50195893832823,,,0.7589281428571429,,125.27667636525867,0.9741746358030046,57.6712924158954
2015-01-26,28.434999,28.59,28.200001,28.275,25.675077,222460000,1.156,0.237,0.3401,40.7792,31.5084,31.5084,0.0,32.0014,23.3908,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.8291,0.7265,1,0,1,27.837500400000003,27.47075019999999,,,27.909420599703072,27.642511858632187,,,0.7325760612244899,,130.78646983568734,0.9731237934783143,57.899978094241746
